180		Filled: 180 out of 180; 0 responses to go!	Filled: 10 out of 180; 170 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 28 out of 180; 152 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
11	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about Artificial Intelligence.	"Teknologi Artificial Intelligence (AI) adalah salah satu inovasi yang mengganti cara kita melihat dunia, dan sekarang lebih mudah untuk mencapai tujuan-tujuan yang kita miliki."			0.5					4	The language shift seems a bit unnatural
12	Imagine that you are an Indonesian speaker. How would you talk about Artificial Intelligence using both English and Indonesian in a single sentence?	"Teknologi Artificial Intelligence telah berkembang pesat di Indonesia dan membantu orang untuk meningkatkan cara mereka dalam mendapatkan informasi dan komunikasi."			0.5					0	It is an Indonesian sentence except for the AI part
13	Write an English and Indonesian code-mixed sentence about family.	My family is my support system and they are always there to help me no matter what. Keluargaku adalah sistem dukunganku dan mereka selalu ada untuk membantuku tak peduli situasinya.			0					5	-
14	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	Speaker 1 (English): Hey! How is your family?   Speaker 2 (Indonesian): Hi! Wew, keluargaku baik-baik saja. Kami baru saja selesai mengisi waktu dengan bermain bersama di taman.   Speaker 1 (English): That's great to hear. How many people are in your family?   Speaker 2 (Indonesian): Kami berlima; aku, ayah, ibuku, adik laki-laki dan adik pere			0					0	All are Indonesian sentences
15	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about family?	"Ayahnya saya rajin kerja, jadi kami sekeluarga merasa bahagia."			0					5	-
16	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about family?	"Aku sangat sayang keluarga saya, teman terbaikku dan sumber kebahagiaan saya di dunia ini!"			0					4	The language shift seems a bit unnatural
17	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about family.	"Saya menyayangi keluargaku yang besar dan semuanya benar-benar menyenangkan!"			0						
18	Imagine that you are an Indonesian speaker. How would you talk about family using both English and Indonesian in a single sentence?	"Saya sangat mencintai keluarga saya, karena mereka adalah yang paling berharga dalam hidup saya", which translates to "I love my family very much, because they are the most precious ones in my life".			0						
19	Write an English and Indonesian code-mixed sentence about traffic.	"Masa-masa saat ini, kemacetan lalu lintas di Jakarta begitu parah sehingga aku harus berangkat lebih awal dari biasanya."			0						
20	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	1A: “Kamu tau, Jakarta adalah kota yang padat dengan kendaraan.” (You know, Jakarta is a city packed with vehicles.)   1B: “Ya, saya yakin begitu. Terkadang saya pikir ada terlalu banyak truk di jalan saat rush hour.” (Yes, I'm sure that's true. Sometimes I think there are too many trucks on the road during rush hour.)   2A: “Memang begitu,			1						
21	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about traffic?	Saya kesal dengan lalu lintas di sini yang super padat!			0						
22	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about traffic?	"Mereka kesal dengan macetnya jalan raya di sini, they're so annoyed by the traffic jam on the highway here."			0						
23	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about traffic.	"Luar biasa, lalu lintasnya sangat padat hari ini!"			0						
24	Imagine that you are an Indonesian speaker. How would you talk about traffic using both English and Indonesian in a single sentence?	Trafficnya sangat padat, lalu lintasnya sangat macet.			3						
25	Write an English and Indonesian code-mixed sentence about weather.	It's so hot today, kalau enggak pake sunscreen pasti bakal kena ikan teri.	1	non-sensical output. "if you're not using sunscreen, you'll get anchovy????"	2						
26	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	Speaker A (English): How was the weather yesterday?  Speaker B (Indonesia): Cuacanya sangat baik kemarin. Pagi hari tidak terlalu dingin dan siang hari cukup panas.			0						
27	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about weather?	"Rasanya sejuk dan lembab hari ini, doesn't it feel cold and humid today?"			0						
28	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about weather?	"Rasanya hari ini sangat panas di sini, it feels so hot today!"			0						
29	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about weather.	"The forecast calls for sunny skies today, tapi cuaca pasti akan berubah dengan cepat!"			2						
30	Imagine that you are an Indonesian speaker. How would you talk about weather using both English and Indonesian in a single sentence?	Saya sangat senang hujan turun, karena cuaca panas terlalu tinggi hari ini. (I'm really happy that it's raining, because the weather is too hot today.)			0						
31	Write an English and Malay code-mixed sentence about food.	"Jom makan ayam masak merah, pasti sedap!"			0						
32	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	English speaker 1: "What do you fancy eating for lunch today?"   Malay speaker 2: "Apa lauk kamu teringin makan untuk makan tengah hari hari ini?" (What kind of dish are you craving for lunch today?)   English speaker 1: "I'm craving some nasi lemak."   Malay speaker 2: "Kita boleh makan nasi lemak di kedai sebelah tadi?" (Can we have nasi lemak at the shop next door?)			0						
33	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about food?	"Makan ayam goreng yang sedap ni!"			0						
34	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about food?	"Saya suka makan nasi goreng English tu!"			0						
35	Imitate the speaking style of a person who can speak English and Malay in one sentence about food.	Makanan adalah perniagaan saya - food is my business!			0	1					
36	Imagine that you are a Malaysian speaker. How would you talk about food using both English and Malay in a single sentence?	I just ate nasi lemak, it was so delicious!			0.5						
37	Write an English and Malay code-mixed sentence about Artificial Intelligence.	"Kepercayaan terhadap kecerdasan buatan (Artificial Intelligence) semakin meningkat di kalangan industri hari ini."			0	1					
38	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	English Speaker: Have you heard about artificial intelligence?  Malay Speaker: Ya, saya telah mendengar tentang pembelajaran mesin dan bagaimana ia menggunakan algoritma untuk menyelesaikan masalah.   English Speaker: Wow, that's really amazing! What do you think about AI being able to mimic the human mind? Malay Speaker: Ya, Saya sangat berbesar hati dengan pembelajaran mesin. Saya berpendapat bahawa ia mungkin			0						
39	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about Artificial Intelligence?	"AI boleh memberi manusia banyak peluang untuk meningkatkan kehidupan mereka,"			0.5						
40	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about Artificial Intelligence?	"Kecekapan AI yang meneroka kemungkinan baru semakin menarik minat orang-orang ramai untuk menyelami dunia pelbagai aplikasi."			0.5						
41	Imitate the speaking style of a person who can speak English and Malay in one sentence about Artificial Intelligence.	"Teknologi kecerdasan buatan adalah masa depan kami, dan bagi mereka yang menggunakannya dengan bijak, ia akan membuka peluang baru yang tidak terbatas."			0						
42	Imagine that you are a Malaysian speaker. How would you talk about Artificial Intelligence using both English and Malay in a single sentence?	"Artificial Intelligence boleh membantu kita untuk memahami dunia dengan lebih mendalam dan tepat."			0.5						
43	Write an English and Malay code-mixed sentence about family.	"Tak ada yang lebih berharga daripada keluarga kita, nikmati waktu bersama mereka sebaik mungkin."			0						
44	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	English speaker A: "So, tell me about your family."   Malay speaker B: "My family is wonderful. My parents are so supportive and my siblings are always there for me. We have a close relationship and we do a lot of fun activities together."    English speaker A: "That sounds like a lot of fun. What sort of activities do you all like to do?"   Malay speaker B: "Oh, mostly outdoor activities like hiking and going to the beach. We also like to go bowling and have movie nights."    English speaker A: "That sounds like the			0						
45	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about family?	"Kami sekeluarga sangat berdikari dan menghargai satu sama lain."			0						
46	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about family?	"Saya berharap keluarga saya sentiasa bersatu dan berbahagia." (I hope my family always stays together and happy.)			0						
47	Imitate the speaking style of a person who can speak English and Malay in one sentence about family.	My family is ohsem, we love having fun and talking about everyday matters in both English and Malay!			2						
48	Imagine that you are a Malaysian speaker. How would you talk about family using both English and Malay in a single sentence?	"My family adalah sebahagian daripada hidup saya, they are my everything."			1						
49	Write an English and Malay code-mixed sentence about traffic.	"Tidak kiralah siang atau malam, lalu lintas di sini sangat sesak."			0						
50	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	A: Kalau tadi saya lewat jalan raya, jalan macam sesak! B: Ya, kemacamana tu, memang banyak kenderaan beratur macam mana? A: Macam orang nak pergi ke pasar ramai sangat! B: Betul-betul,itu pun satu masalah utama di sini jadi kita kena fikirkan cara nak atasi.			0						
51	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about traffic?	Sesetengah pemandu berikan tambahan minyak petrol tanpa memikirkan jalan raya yang padat.			0						
52	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about traffic?	"Kerja yang mengambil masa yang lama seperti menunggu lama di laluan raya membuatkan saya bosan!"			0						
53	Imitate the speaking style of a person who can speak English and Malay in one sentence about traffic.	"The traffic jem was sangat teruk, lagi-lagi pada jam 8 malam."			1						
54	Imagine that you are a Malaysian speaker. How would you talk about traffic using both English and Malay in a single sentence?	The traffic jam is so bad today, agak sesak sejak pagi tadi!			0						
55	Write an English and Malay code-mixed sentence about weather.	"Kami semua tidak dapat mengawal cuaca, tetapi sebagai jariyah, kita harus berusaha untuk membuat kehidupan kita lebih baik walaupun cuaca sedang tidak menentu."			0						
56	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	English speaker: Hey, what do you think of the weather today? Malay speaker: Terik! Aku suka cuaca sekarang, sangat baik untuk pergi ke luar. (It's hot! I like the current weather, it's great for going out.)			0						
57	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about weather?	Hari ini cuaca di sini sangat panas, tetapi aku masih berasa sejuk.			0						
58	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about weather?	"Cuacanya sangat baik hari ini!"			0						
59	Imitate the speaking style of a person who can speak English and Malay in one sentence about weather.	"Hari ni cuaca panas, tapi saya tetap suka!"			0						
60	Imagine that you are a Malaysian speaker. How would you talk about weather using both English and Malay in a single sentence?	The weather is hot today, tapi cuacanya panas sangat.			0						
61	Write an English and Chinese code-mixed sentence about food.	I love eating 牛肉面, it's my favourite Chinese dish! 我最喜歡吃牛肉面了，是我最喜歡的中國菜！	0		1	1					
62	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	Speaker 1: 嚥食有咩好食呀？(Yàn shí yǒu me hǎo shí ya?) What's good to eat?   Speaker 2: 你試吓中式晚餐啊！(Nǐ shì xià zhōng shì wǎn cān a!) You should try Chinese-style dinner!	1	cantonese	0	1					
63	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about food?	我超爱吃薯条！I love potato chips!			0	1					
64	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about food?	"吃辣椒绝对是一种快乐，Eating chilli is definitely a joy!"			0	1					
65	Imitate the speaking style of a person who can speak English and Chinese in one sentence about food.	"Chinese food is so delicious, it's my favourite 美味！"			1		English				
66	Imagine that you are a Malaysian speaker. How would you talk about food using both English and Chinese in a single sentence?	"Malaysian food is so delicious - 就是好吃的啊！"			0						
67	Write an English and Chinese code-mixed sentence about Artificial Intelligence.	Artificial Intelligence is increasingly being used to tackle complex tasks and make our lives easier.人工智能越来越多地被用来解决复杂的任务，使我们的生活变得更加轻松。			0	1					
68	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	English-Chinese Bilingual Speaker 1: 人工智能真有趣，但它仍然有很多改进空间嘛！   English-Chinese Bilingual Speaker 2: 是的，人工智能可以帮助我们解决复杂的和耗时的问题。它也可以			0						
69	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about Artificial Intelligence?	"人工智能正在越来越多地被用来改善人们的生活，AI 不断发展！"			0.5						
70	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about Artificial Intelligence?	"我很期待看到人工智能带来的新变化！" I'm looking forward to seeing the new changes brought by Artificial Intelligence!			0	1					
71	Imitate the speaking style of a person who can speak English and Chinese in one sentence about Artificial Intelligence.	"AI既可以帮助我们提高工作效率,也可以帮助我们更好地了解人类社会。"			0.5						
72	Imagine that you are a Malaysian speaker. How would you talk about Artificial Intelligence using both English and Chinese in a single sentence?	"We need to embrace Artificial Intelligence (人工智能) to remain competitive in the digital age."			0	1	English				
73	Write an English and Chinese code-mixed sentence about family.	Family is 我們最重要的一件事.			2						
74	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	A: 你家人怎么样？(How's your family?) B: 都很好，要不你也过来和我们一起庆祝周末？(They're doing great, why don't you come join us and celebrate the weekend?) A: 好啊，你家有什么活动吗？ (Sure, will there be			0	1					
75	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about family?	我的家庭很有愛，他們對我很多love。			1						
76	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about family?	我的家庭真的好棒！My family is really awesome!			0	1					
77	Imitate the speaking style of a person who can speak English and Chinese in one sentence about family.	"My family 很大，they are a big part of my life."			2		English				
78	Imagine that you are a Malaysian speaker. How would you talk about family using both English and Chinese in a single sentence?	"我家有五口人，me, my parents, my brother and sister."			1						
79	Write an English and Chinese code-mixed sentence about traffic.	The traffic in the city is really bad, 繁忙的城市交通真的很糟糕。			0						
80	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	A: 周末车路太拥挤，特别是上午！ The weekend traffic is really crowded, especially in the morning!   B: 是啊！生活节奏太快，也没办法！ Yeah! Life is too busy and there's no way to avoid it!			0						
81	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about traffic?	"出行时大家一定要小心, Drive Carefully 哦！"			2						
82	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about traffic?	"这里的交通真是traffic jam啊！"			1						
83	Imitate the speaking style of a person who can speak English and Chinese in one sentence about traffic.	"It traffic yau long nau,搵車好難!"			0	1					
84	Imagine that you are a Malaysian speaker. How would you talk about traffic using both English and Chinese in a single sentence?	Traffic is so slow 交通真慢!			0	1					
85	Write an English and Chinese code-mixed sentence about weather.	It's sunny today, 今天天氣真晴朗啊!			0	1					
86	Imagine there are two English-Chinese bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	English speaker: "It sure looks like a beautiful day. How's the weather in China?"   Chinese speaker: "Yes, the weather in China is very nice today. There is the sun, warmth, and a light breeze, it's perfect!"			0						
87	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Chinese sentence about weather?	今天天气真好，可以去野餐～The weather is really nice today, let's go for a picnic!			0	1					
88	Assuming that you are an English-Chinese bilingual speaker, how would you write a natural English-Chinese code-mixed sentence about weather?	"今天真是太熱了，我真的要把汗水都蒸發出來了！"			0						
89	Imitate the speaking style of a person who can speak English and Chinese in one sentence about weather.	"今天的天气很好，很适合出去玩呢！"			0						
90	Imagine that you are a Malaysian speaker. How would you talk about weather using both English and Chinese in a single sentence?	"The weather outside is so hot, 真的很热！"			0	1					
91	Write an English and Tagalog code-mixed sentence about food.	"Ang pagkain na pinakamasarap ay mayaman sa lasa at nutrition, kaya dapat laging nilalagyan ng kaunting pag-ibig ang bawat hapunan!"			0						
92	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	English Speaker: "What's your favorite food?   Tagalog Speaker: Ang paborito kong pagkain ay sinigang na hipon!			0						
93	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about food?	"I love kumain ng Kanin at Adobo!"			1		tagalog				
94	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about food?	"Masarap talaga ang adobo na iniluto ko, bes!"			1		tagalog				
95	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about food.	"Gusto ko ng mag-enjoy ng isang delicious na pagkain na pareho ay tagalog at english!"			1		tagalog				
96	Imagine that you are a Filipino speaker. How would you talk about food using both English and Tagalog in a single sentence?	I love kare-kare and sinigang, especially when I'm kumakain ng masarap na versions nila sa bahay.			2		tagalog				
97	Write an English and Tagalog code-mixed sentence about Artificial Intelligence.	"AI is revolutionizing the way we live, trabaho, at mabuhay ngayon sa pamamagitan ng pagbibigay ng modernong solusyon sa mga proyekto at pagkukuha ng ilang mga trabahong naghihintay na ma-automate."			3						
98	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	English Speaker 1: "What do you think about Artificial Intelligence?"    Tagalog Speaker 1: "Ako ay napakalaki sa Artificial Intelligence. Naiintindihan ko kung bakit maraming mga tao ay nagmamalasakit dahil hindi natin alam kung paano ito makakaapekto sa ating mga buhay."    English Speaker 2: "Yes, AI is both frightening and exciting. We can create opportunities with AI while still respecting ethical concerns."    Tagalog Speaker 2			0						
99	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about Artificial Intelligence?	"Ang Artificial Intelligence ay isang modernong teknolohiya na tumutulong sa amin na mapabuti ang aming buhay at makamit ang mga pangarap natin sa pag-unlad."			0						
100	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about Artificial Intelligence?	"Ang Artificial Intelligence ay magpapalawak ng ating mga kakayahan ng hindi nakikita ng tao!"			0						
101	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about Artificial Intelligence.	Ang Artificial Intelligence ay isang napakalawak na larangan na lubos naming pinahahalagahan, na humahantong sa mas mataas na antas ng teknolohiya upang maabot ang ating mga pangarap.			0						
102	Imagine that you are a Filipino speaker. How would you talk about Artificial Intelligence using both English and Tagalog in a single sentence?	Iba't ibang aplikasyon ng Artificial Intelligence ay unti-unti na nating nakikita sa lahat ng aspeto ng buhay, mula sa paalala sa aming mga mobile devices hanggang sa mga computer na nag-aalok ng pinakamahusay na mga solusyon.			0.5		tagalog				
103	Write an English and Tagalog code-mixed sentence about family.	"Ang pamilya ko ay napakalaking pagmamahalang pagsasama ng aming mga puso."			0						
104	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	English Speaker: "Hey, did you visit your family recently?"  Tagalog Speaker: "Oo naman, nakabalik na ako mula sa pagbisita sa kanila sa bahay."  English Speaker: "That's great! How were they?"  Tagalog Speaker: "Masaya ang lahat. Nakatulong ako sa mga pasyente nila, at niluto ko sila ng mga masasarap na hapunan!"			0						
105	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about family?	ang aking pamilya ay isang mahalaga bahagi ng aking buhay - My family is an important part of my life.			0	1					
106	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about family?	"Ang aking pamilya ay laging nagmamalasakit sa isa't isa."			0						
107	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about family.	"Ang pamilya ko ay laging magkakasama kahit na mayroon kaming iba't ibang magulang na may magkakaibang lenggwahe."			0						
108	Imagine that you are a Filipino speaker. How would you talk about family using both English and Tagalog in a single sentence?	"Ang aking pamilya ay talagang mahal ko, my family really means a lot to me."			0	1					
109	Write an English and Tagalog code-mixed sentence about traffic.	"The traffic in Metro Manila today is really iresponsibol na talaga!"			1		english				
110	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	English Speaker: "It looks like the traffic is really bad today!" Tagalog Speaker: "Talaga namang malakas ang trapiko ngayon!"			0	1					
111	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about traffic?	"Kapag busy ang trapiko, mag-ingat ka sa pagda-drive para maiwasan mo ang mga masamang pangyayari!"			3		tagalog				
112	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about traffic?	"Ang traffic sa Metro Manila ay hindi ka-fun, lalo na kung uuwi ka pa papunta sa bahay mo sa lagalag!"			1		tagalog				
113	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about traffic.	Ayaw ko ng trapik, pero kailangan kong magdaan doon.			0						
114	Imagine that you are a Filipino speaker. How would you talk about traffic using both English and Tagalog in a single sentence?	Traffic was so heavy naging kabigat ang trapiko.			0	1					
115	Write an English and Tagalog code-mixed sentence about weather.	"It's so hot today, ang init-init naman talaga!"			0	1					
116	Imagine there are two English-Tagalog bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	English speaker: Hey! How's the weather today? Tagalog speaker: Ang panahon ngayon ay mainit sa umaga at mababaga sa gabi. Kung gusto mong maligo sa anya, mag-ingat ka dahil maraming ilog na maaaring tumulo.			0						
117	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Tagalog sentence about weather?	Ang panahon ngayon ay magaan na hangin at mainit na araw.			0						
118	Assuming that you are an English-Tagalog bilingual speaker, how would you write a natural English-Tagalog code-mixed sentence about weather?	"Ang panahon ay masarap ngayon, hindi tulad ng pinaghihirapan nating buhos ng ulan noong nakaraan!"			0						
119	Imitate the speaking style of a person who can speak English and Tagalog in one sentence about weather.	It's raining cats and dogs ngayon, nag-ulan talaga!			1		english				
120	Imagine that you are a Filipino speaker. How would you talk about weather using both English and Tagalog in a single sentence?	It's hot and maalinsunod ngayon.			1		english				
121	Write an English and Vietnamese code-mixed sentence about food.	"The pho here is so delicious that I can't help but eat it every day!" - Phở ở đây rất ngon thế này nên tôi không thể không ăn hằng ngày!			0.5		english				
122	Imagine there are two English-Vietnamese bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	Bilingual Speaker 1: Đã ăn rồi chưa? (Have you eaten yet?)   Bilingual Speaker 2: Nếu nói thế thì đã, tôi ăn một bữa sáng tuyệt vời! (If you put it that way, then yes, I had a wonderful breakfast!)   Bilingual Speaker 1: Bữa sáng của bạn			0						
123	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Vietnamese sentence about food?	"Ăn rất ngon nhé, bữa ăn này thực sự đã đưa tôi vào thế giới của foodie heaven!"			1		vietnamese				
124	Assuming that you are an English-Vietnamese bilingual speaker, how would you write a natural English-Vietnamese code-mixed sentence about food?	"Thịt ba rọi của bạn ăn ngon quá, tôi đã yêu thích món ăn này!"			0						
125	Imitate the speaking style of a person who can speak English and Vietnamese in one sentence about food.	"Tôi thích ăn món phở ngon và grilled cheese đầy ngon lành!"			1		vietnamese				
126	Imagine that you are a Vietnamese speaker. How would you talk about food using both English and Vietnamese in a single sentence?	"Tôi thích ăn món 'bún bò Huế' ở Việt Nam, I love eating 'bún bò Huế' in Vietnam."			0						
127	Write an English and Vietnamese code-mixed sentence about Artificial Intelligence.	"Artificial Intelligence đang trở thành thực tế trong cuộc sống hàng ngày của chúng ta," bảo khởi nghĩa rằng nó sẽ có những tác động lớn đến xã hội.			0.5		vietnamese				
128	Imagine there are two English-Vietnamese bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	Speaker 1: Việc sử dụng trí tuệ nhân tạo là cực kỳ ấn tượng, đúng không?   Speaker 2: Đúng vậy, và trí tuệ nhân tạo đã ứng dụng được rất nhi			0						
129	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Vietnamese sentence about Artificial Intelligence?	"Công nghệ nhân tạo đã ấn định sứ mệnh của nó trong thế giới hiện đại, Artificial Intelligence đã đạt đến mục tiêu đột phá không ngừng của chúng ta."			0.5		vietnamese				
130	Assuming that you are an English-Vietnamese bilingual speaker, how would you write a natural English-Vietnamese code-mixed sentence about Artificial Intelligence?	"Trí tuệ nhân tạo là một công nghệ không thể thiếu ở thời đại hiện nay Artificial Intelligence nói chung."			0.5		vietnamese				
